### SECTION 1: GameHeap::Free callers (quarantine SAFE)
  UNCONDITIONAL_CALL @ 00b03e5d (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03ebf (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03eee (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03f08 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03f52 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03f8a (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b03ff3 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04056 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04078 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b040b0 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04113 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04135 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04197 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b041f9 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b0425b (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b04293 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b042e4 (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b0431c (in FUN_00b03b30 @ 00b03b30)
  UNCONDITIONAL_CALL @ 00b0443b (in FUN_00b04420 @ 00b04420)
  UNCONDITIONAL_CALL @ 00b0445c (in FUN_00b04420 @ 00b04420)
  UNCONDITIONAL_CALL @ 00b0447d (in FUN_00b04420 @ 00b04420)
  UNCONDITIONAL_CALL @ 00b0559c (in FUN_00b05420 @ 00b05420)
  UNCONDITIONAL_CALL @ 00b05f40 (in FUN_00b059e0 @ 00b059e0)
  UNCONDITIONAL_CALL @ 00b08825 (in FUN_00b087d0 @ 00b087d0)
  UNCONDITIONAL_CALL @ 00b0897f (in FUN_00b088d0 @ 00b088d0)
  UNCONDITIONAL_CALL @ 00b0a857 (in FUN_00b0a7a0 @ 00b0a7a0)
  UNCONDITIONAL_CALL @ 00b0e84a (in FUN_00b0e7f0 @ 00b0e7f0)
  UNCONDITIONAL_CALL @ 00b0eafc (in FUN_00b0ea80 @ 00b0ea80)
  UNCONDITIONAL_CALL @ 00b0f0f1 (in FUN_00b0ecf0 @ 00b0ecf0)
  UNCONDITIONAL_CALL @ 00b0f829 (in FUN_00b0f410 @ 00b0f410)
  UNCONDITIONAL_CALL @ 00b100a7 (in FUN_00b0fc00 @ 00b0fc00)
  UNCONDITIONAL_CALL @ 0047448e (in FUN_00474480 @ 00474480)
  UNCONDITIONAL_CALL @ 00a730b4 (in FUN_00a73080 @ 00a73080)
  UNCONDITIONAL_CALL @ 00b9af0c (in FUN_00b9aec0 @ 00b9aec0)
  UNCONDITIONAL_CALL @ 00b9af49 (in FUN_00b9aec0 @ 00b9aec0)
  UNCONDITIONAL_CALL @ 00b4df61 (in FUN_00b4df30 @ 00b4df30)
  UNCONDITIONAL_CALL @ 00a84b5a (in FUN_00a84980 @ 00a84980)
  UNCONDITIONAL_CALL @ 00a84c3f (in FUN_00a84980 @ 00a84980)
  UNCONDITIONAL_CALL @ 00a83af7 (in FUN_00a839d0 @ 00a839d0)
  UNCONDITIONAL_CALL @ 00a83b4a (in FUN_00a839d0 @ 00a839d0)
  UNCONDITIONAL_CALL @ 00a8427a (in FUN_00a83d40 @ 00a83d40)
